term,estimate,std.error,statistic,p.value,model
RFA,8.140421400433414,3.354610642180548,2.426636730378348,0.015593395071667989,6
OLS,538.9966989775471,130.46450098317732,4.1313667312999405,4.2297120936458817e-5,7
OLS + control,73.58205118231893,18.33282286223581,4.013678184492376,6.8997796487685e-5,7
OLS + interaction,54.78968110290559,21.382211924446754,2.5623953825031234,0.010689456367842907,7
OLS + quadradic,5.259313033064787,1.02427984377227,5.13464466282527,4.0676036467758196e-7,7
Matching (logit),28.724789161530797,18.39978778917393,1.561147850761186,0.11848887008203067,7
Matching (logit + quad),28.650097016075073,18.400735805899796,1.5570082260997977,0.11946853236706997,7
Matching (genetic),28.650097016074017,26.22812068399426,1.0923427324916104,0.27651936608017474,7
SVA,21.43998710707195,7.903122662706943,2.712850100156287,0.006901671097334469,7
RFA,13.79693967252823,6.646519351901433,2.0758142633830157,0.03842369286837784,7
OLS,402.51787733505256,130.2978672144994,3.0892130925859145,0.002119011683550105,8
OLS + control,38.78677417319373,16.221555426707834,2.3910638131121256,0.01717069563147914,8
OLS + interaction,23.364144250906488,17.933643613130577,1.3028107815078822,0.19324389397231367,8
OLS + quadradic,5.0156502707038415,1.2091287293190804,4.148152425034512,3.943423465432892e-5,8
Matching (logit),10.618908360960452,4.521193070459359,2.348696062183772,0.018839277897038553,8
Matching (logit + quad),10.241948821151848,4.524608895366857,2.2636097523566017,0.02359812750380259,8
Matching (genetic),10.241948821151766,6.4368300100045905,1.5911479416472056,0.11473272452299275,8
SVA,12.369577544736847,7.695944083384065,1.6072852675012796,0.10862560545292997,8
RFA,-0.02111214851492441,5.931269649619884,-0.003559465302050029,0.9971613889622616,8
OLS,305.6390508097111,145.01659552293907,2.1076143024014407,0.035563580429348915,9
OLS + control,91.88519106607089,22.78565278530479,4.032589802532699,6.383432944917755e-5,9
OLS + interaction,86.26232787222833,24.914620068853118,3.462317612463564,5.818508715369111e-4,9
OLS + quadradic,6.8901658715285,1.171817551698174,5.879896457894331,7.548935690790776e-9,9
Matching (logit),29.797435571430334,18.46335904735124,1.6138686083616558,0.1065559289962656,9
Matching (logit + quad),29.48687186300151,18.468163514557748,1.5966325964007269,0.11034762847895473,9
Matching (genetic),29.48687186300158,26.382428345010375,1.1176708784117038,0.26616498666589805,9
SVA,12.80276105347401,8.011863592860083,1.5979754154680594,0.11068271461782136,9
RFA,9.408448971727909,3.754616004017177,2.505835207025572,0.012534174274238096,9
OLS,633.0013300372395,139.97882649136054,4.522121994473988,7.660316243891091e-6,10
OLS + control,81.35222386378479,24.37938345777653,3.336927039384791,9.105668271812818e-4,10
OLS + interaction,50.74194549806264,39.566932746903674,1.2824331322986735,0.20028976440253587,10
OLS + quadradic,6.7714974188078445,1.0898482540905836,6.213247939235608,1.100256096350542e-9,10
Matching (logit),36.65978289663159,13.283602522639542,2.759777163924583,0.00578407998343665,10
Matching (logit + quad),36.56562748458454,13.288004791223376,2.751777114705426,0.005927284727730543,10
Matching (genetic),36.5656274845848,18.892506410276056,1.935456666813459,0.055210726455490154,10
SVA,19.648720052689313,7.112095216663675,2.7627189251702178,0.005944255226977485,10
RFA,5.1218444833455425,2.5520861504210623,2.006924602643411,0.04529765800291803,10
OLS,753.4407781219481,138.8806227204951,5.425096484757915,9.054777291894764e-8,11
OLS + control,96.82717289307573,18.298340476675893,5.291582207495655,1.8220805283231365e-7,11
OLS + interaction,51.36761890300197,20.288398329668972,2.531871568584295,0.011653143429551609,11
OLS + quadradic,3.470644293602871,1.069175313569141,3.246094676482102,0.0012490942926058183,11
Matching (logit),50.92618828767489,20.490087420895595,2.485406101085779,0.012940372051751768,11
Matching (logit + quad),50.815942200115664,20.49130898118631,2.479877798278837,0.013142741673990231,11
Matching (genetic),50.81594220011536,29.15275362086885,1.7430923631083353,0.08349740929755643,11
SVA,14.60536469697338,7.346702346154736,1.9880163927721706,0.047356949530627565,11
RFA,2.3435391347850283,1.5039710854845514,1.5582341691296437,0.1198129896943176,11
OLS,654.2156262749983,144.3243703201283,4.5329532692494805,7.292493605784498e-6,12
OLS + control,109.87764201660237,21.11797412805085,5.203038953942684,2.8723945312979493e-7,12
OLS + interaction,85.66245895563203,26.453846819447985,3.238185339935357,0.0012835000119621094,12
OLS + quadradic,5.787421056590825,1.2778909457267242,4.52888493806455,7.435197579577034e-6,12
Matching (logit),27.1264349836483,12.858538452564622,2.109604842239124,0.03489240691688287,12
Matching (logit + quad),27.150928269200126,12.85670253742704,2.111811188767982,0.0347026472316615,12
Matching (genetic),27.150928269199582,18.350444931312207,1.479578744320837,0.14179300514689566,12
SVA,17.257693031976853,7.748018147996089,2.227368689945609,0.026368788477845278,12
RFA,9.818172817065925,3.210407645362756,3.0582324432374484,0.002346277454563259,12
OLS,682.3192228589661,127.66357911898365,5.344666251468935,1.3815593654704433e-7,13
OLS + control,49.56935662063392,16.496083729823916,3.0049166476413753,0.0027906981872970293,13
OLS + interaction,3.7821803940302763,21.386195592403155,0.17685148242887058,0.8596972394385959,13
OLS + quadradic,3.2894137907823433,1.2403670385435965,2.6519680776463384,0.008258641771542716,13
Matching (logit),26.79333942664914,19.26244920041299,1.3909622368309573,0.1642368783431265,13
Matching (logit + quad),26.68297655701666,19.26405423757834,1.3851173915907196,0.166016574801469,13
Matching (genetic),25.712989017317625,27.530334428114895,0.9339875287188181,0.35251610708314085,13
SVA,20.464742710914376,6.54194714773749,3.1282341860545353,0.0018615958273006197,13
RFA,7.701702754613812,4.5656370681997,1.6868845770193273,0.09225179003979908,13
OLS,714.4338300358303,144.44165210034075,4.946175979346506,1.0366441648606459e-6,14
OLS + control,77.30092950253454,19.754885567056508,3.913003152569131,1.0385261069686373e-4,14
OLS + interaction,43.9182822989472,27.296219133152537,1.6089511182743395,0.10826329341842751,14
OLS + quadradic,3.8148719023097617,1.3640661241057714,2.796691329616182,0.005363392375910714,14
Matching (logit),7.3396795331940075,5.2257782711179805,1.4045141512718236,0.1601658007067335,14
Matching (logit + quad),7.067362697967699,5.224671003979514,1.3526904742106531,0.1761545348999232,14
Matching (genetic),7.067362697967933,7.443941548668479,0.9494113638267477,0.34459156119829004,14
SVA,14.878231027552054,9.640117104586981,1.5433662128930636,0.12337712937946482,14
RFA,6.6147598953177935,4.635826746096096,1.4268781508903863,0.1542416721352617,14
OLS,427.7645189645278,121.35733925253066,3.5248343577671806,4.6284320989358884e-4,15
OLS + control,54.255933612409166,13.815471203063822,3.92718661672408,9.809082083183892e-5,15
OLS + interaction,39.87423283810895,14.714664540547467,2.7098295532482055,0.006964839358328642,15
OLS + quadradic,5.480922572159304,1.1045958506801166,4.961925729473468,9.60846640551927e-7,15
Matching (logit),19.632824535975647,14.035466020328709,1.398801044977048,0.16187265286916552,15
Matching (logit + quad),19.595218699173454,14.036122711373434,1.3960563826715122,0.1626975170685898,15
Matching (genetic),18.91129634939769,20.0542853720726,0.9430052479323635,0.34778293981457786,15
SVA,9.530284023671403,6.041150413823662,1.5775611217796748,0.11530144255655304,15
RFA,15.683645917868004,9.783037030129247,1.6031469439976966,0.10953623452244594,15
OLS,447.1104905552609,148.18574168053868,3.0172301699521755,0.002681498147863647,16
OLS + control,111.63557736536607,19.957237938401516,5.593738858550061,3.6745055757163906e-8,16
OLS + interaction,106.3030624809238,21.74723783546471,4.888117897325246,1.376947749910682e-6,16
OLS + quadradic,5.317689077651239,1.0533368081694203,5.048422343554839,6.266639880912902e-7,16
Matching (logit),13.593330886622912,6.5393455565046725,2.078698972116813,0.03764502752574155,16
Matching (logit + quad),9.718342983533285,6.510163018645587,1.4927956420905644,0.13549068839697398,16
Matching (genetic),9.718342983531906,9.275893561885706,1.0476988463369403,0.29676719179112276,16
SVA,2.738906018644358,12.334112922359859,0.22205942461246164,0.8243586576250982,16
RFA,-0.17326982258204549,6.891906974358624,-0.025141056492302753,0.9799525229322691,16
OLS,448.2081760966561,144.633469485154,3.0989243201599526,0.0020520545486071564,17
OLS + control,81.121743471788207,25.331756522179475,3.2023734082854163,0.0014503616832692587,17
OLS + interaction,72.17315311700743,33.33562194535618,2.16504594500483,0.030860312895219125,17
OLS + quadradic,4.634396947032352,1.2253596510428875,3.7820707929203294,1.744986351632854e-4,17
Matching (logit),39.019757482285755,20.21259613098889,1.930467379322081,0.05354895330280062,17
Matching (logit + quad),39.42671182256504,20.20614627738048,1.9512237158601977,0.05103043898900266,17
Matching (genetic),39.17183990138044,28.942087913894884,1.3534559088452747,0.17972193754688043,17
SVA,16.29669768605106,8.41014954023407,1.9377417260047312,0.05321970289978001,17
RFA,4.295516544266831,2.1784851251670534,1.9717906239719845,0.04918652440647413,17
OLS,631.3578934296156,134.36764868569944,4.6987344022550435,3.3917695707005524e-6,18
OLS + control,104.02750091868371,33.63757656976854,3.092597967125178,0.002095676116170442,18
OLS + interaction,94.83015307140151,52.338859199588335,1.8118498286288094,0.070614036625028,18
OLS + quadradic,5.071931637825046,1.198542797311527,4.231748460882655,2.7629334483774258e-5,18
Matching (logit),13.638546911425978,12.49244937040136,1.0917432208082503,0.2749459820909144,18
Matching (logit + quad),13.451094767299757,12.488478626236681,1.0770803369948316,0.2814443766829823,18
Matching (genetic),13.4510947672995,17.814143880020502,0.7550794951412517,0.4515670941571813,18
SVA,21.535530752352365,7.673640560997024,2.8064294360894966,0.005205626310685518,18
RFA,3.8728575270228287,3.2501781573603137,1.1915831500659135,0.2339922948660076,18
OLS,592.5962682349742,152.47827881220755,3.886430728699506,1.1549088522309099e-4,19
OLS + control,94.69838639808465,21.775800804777084,4.34879007422359,1.661644327220178e-5,19
OLS + interaction,68.34548217715884,25.299479251898337,2.7014580615144705,0.007139960566512724,19
OLS + quadradic,4.624835566551762,1.30960281627294,3.531479551726834,4.5180602137391616e-4,19
Matching (logit),41.69695337458585,15.644435730115916,2.6652896974940563,0.007692202658162116,19
Matching (logit + quad),42.04598162340882,15.634061718761624,2.689383116157948,0.007158421089371271,19
Matching (genetic),41.800694846200074,22.355360660416782,1.8698286948335354,0.06483267202776737,19
SVA,21.69151918768271,7.595636574718964,2.855786868460764,0.0044723057242858294,19
RFA,4.206961174037514,2.841152065426018,1.4807236913616937,0.1393125928820228,19
OLS,396.47491082811393,140.77311990057328,2.816410626603576,0.005049086211404173,20
OLS + control,53.19587778198985,27.24867218353727,1.9522374310088038,0.051471111390695795,20
OLS + interaction,45.52574956194896,37.91613547474293,1.2006959304245293,0.2304422701373506,20
OLS + quadradic,5.751942518948688,1.2542740689471192,4.585873742711644,5.731205800334961e-6,20
Matching (logit),29.11217492771329,14.691963989133825,1.9815032863710156,0.0475348611881002,20
Matching (logit + quad),29.208850271629135,14.691031688201427,1.9882096023989364,0.04678851342964104,20
Matching (genetic),29.20885027162909,20.937784496003715,1.3950306097191911,0.1656048872491475,20
SVA,20.29721745460767,7.091413012923781,2.862224695926877,0.004383916857688213,20
RFA,8.950059799410404,3.176288179234599,2.8177732291177464,0.005028050215784288,20
OLS,376.9872234164003,141.3248211875712,2.6675230879369014,0.007890145113087148,21
OLS + control,93.5001579368582,21.61683447087503,4.325339959596471,1.8414466990818242e-5,21
OLS + interaction,88.49507413443713,23.2769508441033,3.801832754089241,1.6151192287045744e-4,21
OLS + quadradic,6.522292947102656,1.1117186627451754,5.8668556764146675,8.125298108576856e-9,21
Matching (logit),21.924096251173395,18.36453164189488,1.1938282270786642,0.23254516760468671,21
Matching (logit + quad),21.533663358011403,18.3669760786021,1.1724120108752445,0.24103167961184593,21
Matching (genetic),21.53366335801142,26.214152273565208,0.8214518300378658,0.4129163470438252,21
SVA,12.627911227148182,7.517343039753135,1.6798370328943875,0.09361619259373448,21
RFA,13.18882310151052,5.070771453037907,2.6009500178930516,0.009573032373135618,21
OLS,675.3678697455321,138.7252801854962,4.868383533574165,1.5130822330232557e-6,22
OLS + control,108.26479266720975,22.941449252525864,4.719178438794129,3.0828895817998057e-6,22
OLS + interaction,89.02427267260782,31.7487988270208,2.8040201822325623,0.005244866921997279,22
OLS + quadradic,6.292083656619435,1.3014496662622164,4.834673072444205,1.7817332325226827e-6,22
Matching (logit),15.305832210037565,8.187041096594116,1.8695194062730343,0.06155058628254298,22
Matching (logit + quad),15.120950143205611,8.192730556833721,1.8456545150985006,0.06494238552844428,22
Matching (genetic),14.963560922716589,11.705967748155564,1.2782848240013565,0.20419930809486922,22
SVA,9.874392156076333,9.612825992036155,1.027210121587229,0.3048201978065913,22
RFA,9.5793128986253,6.015706466977247,1.5923836961145286,0.11193301984874666,22
OLS,697.1925844406538,150.19102310004348,4.642038985087997,4.4182471968000506e-6,23
OLS + control,111.87243920012747,26.032509421403557,4.297412799864294,2.079860222694398e-5,23
OLS + interaction,92.22532831358993,37.78205842803566,2.4409820997247564,0.014996089856230736,23
OLS + quadradic,5.4482304740245375,1.4005300594427958,3.890120342145408,1.138574536402801e-4,23
Matching (logit),44.800688579502214,24.013401383712637,1.8656535933259664,0.06208984626881054,23
Matching (logit + quad),44.61628155130627,24.016433641452647,1.8577396718178025,0.06320599187985898,23
Matching (genetic),44.42871546955393,34.37041236066093,1.2926442372395088,0.19967848149123088,23
SVA,21.211321194667594,8.224866797201406,2.5789258011916933,0.010196642474183885,23
RFA,5.095695668657654,2.6704240433565207,1.9081971948742456,0.05694046511902028,23
OLS,681.1195815122293,143.28620542948488,4.753560047672748,2.61985035442734e-6,24
OLS + control,67.46504550583984,20.200161369452932,3.339827057414589,9.013200821433779e-4,24
OLS + interaction,33.548042651339216,24.061672825810724,1.3942522988406922,0.16386564612587326,24
OLS + quadradic,7.147768596614933,1.1677033102050678,6.121219777444724,1.8886115056599993e-9,24
Matching (logit),20.250518207841562,6.944720062058971,2.9159588906219622,0.0035459721967116753,24
Matching (logit + quad),20.447069475748265,6.93683053537144,2.947609772429507,0.0032024103130889074,24
Matching (genetic),20.447069475748272,9.863273396197151,2.0730510708170953,0.040157962925901826,24
SVA,30.890466084383345,8.218121158076851,3.758823396516111,1.909514315417408e-4,24
RFA,12.605339516951567,3.3020440652127867,3.817435281905987,1.518374802091968e-4,24
OLS,619.9542942272507,154.04825537184948,4.024416198228105,6.600047734459565e-5,25
OLS + control,95.44234074761756,21.57478709606328,4.423790618310797,1.1925168138431518e-5,25
OLS + interaction,75.63273062784533,26.609406368961153,2.8423306247097644,0.004663054688201008,25
OLS + quadradic,4.322773277901118,1.204417561789496,3.589098511216027,3.647945333550921e-4,25
Matching (logit),8.96462834409047,7.1312372646691085,1.2570929856035902,0.2087199668232777,25
Matching (logit + quad),8.952482134366663,7.127416055498819,1.256062795360431,0.20909320376176418,25
Matching (genetic),8.451752618015995,10.229659990848328,0.8262007364445263,0.4111475024315532,25
SVA,21.896721477938765,7.327477653683001,2.988302730194318,0.0029438209264928436,25
RFA,7.4345542590740745,3.1587492124125216,2.353638658573933,0.01897836808617788,25
OLS,382.4642129392941,144.59025147065486,2.645159054979005,0.008423235877825133,26
OLS + control,78.84972489145376,22.2437056196487,3.5448106641819086,4.3002214434983537e-4,26
OLS + interaction,72.08808446764348,25.209003799814315,2.85961654970969,0.004420257570133424,26
OLS + quadradic,4.881660101573453,1.0411174510805767,4.6888658878081175,3.5557760391237887e-6,26
Matching (logit),28.395718254328745,12.174051522941161,2.3324788958564016,0.019675511879542182,26
Matching (logit + quad),28.34662949976439,12.175860944041611,2.3281006271376743,0.019906761019003103,26
Matching (genetic),28.346629499764404,17.354269326048097,1.6334095643668036,0.1051417958017171,26
SVA,9.303514228791933,7.371892915364453,1.2620251454550577,0.20753046620080615,26
RFA,8.468792173078514,2.648683360631446,3.1973592234367922,0.0014751091856440076,26
OLS,728.7277855620646,138.15798458520095,5.274597684310195,1.987755725982902e-7,27
OLS + control,98.26093316590155,19.834370700080893,4.95407364577999,9.979354155593723e-7,27
OLS + interaction,77.92931960207041,26.101780952273522,2.9855939617515865,0.002970119132342073,27
OLS + quadradic,4.994965634273196,1.1829839026825424,4.222344550037053,2.8766050138307292e-5,27
Matching (logit),41.93632174832687,16.445640434873084,2.549996268883554,0.010772407195308167,27
Matching (logit + quad),41.81495673531863,16.44707697002789,2.5423944213017036,0.011009585709403318,27
Matching (genetic),41.617468046958784,23.481047121140577,1.7723855257498091,0.07915029326022627,27
SVA,15.368023046107872,8.00828966980595,1.9190143813167357,0.05555373596112063,27
RFA,4.909628889429389,1.6653701459503905,2.9480706744791387,0.0033477805857078063,27
OLS,505.45041901690104,135.43130623274072,3.732153466409583,2.1173399183014132e-4,28
OLS + control,98.12630080592422,27.038178656116045,3.629175694633115,3.137655787574228e-4,28
OLS + interaction,91.07439213215888,36.05872076414986,2.52572443509162,0.011856320025945574,28
OLS + quadradic,4.577348606927093,1.1159432437415755,4.101775455515095,4.7914638929565426e-5,28
Matching (logit),10.245585704965741,14.38406553592789,0.7122871958122524,0.4762869512471914,28
Matching (logit + quad),10.689318840729054,14.38239411012286,0.7432224954262321,0.4573469860959379,28
Matching (genetic),10.689318840729232,20.528425965675925,0.5207081565143893,0.6034230853074862,28
SVA,6.302627520843889,9.7463241631309,0.6466671347425447,0.518145317968528,28
RFA,5.511705336605131,4.4973700898591416,1.2255396434981314,0.22095122890905525,28
OLS,779.4072157011186,137.86839091405588,5.653269836064047,2.654596081982819e-8,29
OLS + control,96.59019933568622,20.53100715619806,4.704601123599863,3.3014049599030593e-6,29
OLS + interaction,68.02640385552759,28.64161841658137,2.3750893844792427,0.017923954474929057,29
OLS + quadradic,4.925971492777335,1.1691580447765524,4.213263993508062,2.990589853455762e-5,29
Matching (logit),39.00916827919033,15.398883778892252,2.533246489765801,0.011301145283685777,29
Matching (logit + quad),38.845577071026966,15.404360030910446,2.521726121246146,0.011678059211960471,29
Matching (genetic),38.84557707102711,21.935525826174914,1.7708979205173194,0.07895787666656988,29
SVA,13.318694460150786,7.591326504861442,1.754462076110357,0.07996635700140456,29
RFA,3.9563609373735984,2.1067130528769034,1.8779780815288711,0.06096826371093089,29
OLS,432.58323721882414,136.13978039391975,3.177493279092612,0.00157780756050964,30
OLS + control,76.78788668279773,21.046064922477317,3.6485626631697707,2.915881751531591e-4,30
OLS + interaction,68.96943334221156,24.45368003013964,2.8204112124312326,0.004988329320954871,30
OLS + quadradic,4.5970197948670775,1.2750894403421116,3.605252815546554,3.433812715152106e-4,30
Matching (logit),10.865621957266628,12.988879005676147,0.8365326948167232,0.4028552915591451,30
Matching (logit + quad),10.793438954003934,12.990025468175048,0.8309020625438612,0.40602895839799447,30
Matching (genetic),10.229357964704592,18.545617641724338,0.5515781767057657,0.582366410074173,30
SVA,7.950045892331398,7.994588381133639,0.9944284199912836,0.3204972663304465,30
RFA,5.857740347626978,3.049065539380255,1.9211592115588327,0.05528215560015553,30
OLS,697.9549300017741,136.03429386996694,5.130727775666173,4.142961473801041e-7,31
OLS + control,112.52090324684788,31.77408203238258,3.5412794343569742,4.356741661518561e-4,31
OLS + interaction,100.12319573341507,49.86817955875555,2.0077571834249173,0.045210927801005385,31
OLS + quadradic,3.3480429460042416,1.1591820768584564,2.888280463305558,0.004042859079934538,31
Matching (logit),41.50148120676396,16.749294847938692,2.477804682736926,0.01321934882811479,31
Matching (logit + quad),41.81687303485072,16.739490610498187,2.498097105095016,0.012486198565807599,31
Matching (genetic),41.671511789026106,23.917517742758847,1.742300862372826,0.08456130271631467,31
SVA,20.459690906631472,7.984061498379836,2.5625667977110713,0.010683063759885087,31
RFA,2.817876830958103,2.223481340586285,1.267326502598438,0.2056308613042279,31
OLS,776.9592625936675,137.46965103601556,5.651860295987167,2.6751365236300513e-8,32
OLS + control,84.71546954779956,21.154889809673847,4.0045337182073295,7.163440636343521e-5,32
OLS + interaction,43.78110735059452,33.843390712500444,1.2936383272738528,0.19639247160560871,32
OLS + quadradic,4.381748117872161,1.089112244788072,4.023229138080985,6.636140349703918e-5,32
Matching (logit),57.11428840179664,24.710891376390506,2.311300208958276,0.02081627849363582,32
Matching (logit + quad),57.01093902854577,24.714028092441506,2.3068250475114533,0.021064575307106637,32
Matching (genetic),56.697133773708195,35.32764502946376,1.6048942330127576,0.1118364409014483,32
SVA,32.38145040138538,7.097671999443357,4.562263570918033,6.38013362305164e-6,32
RFA,6.0043319806788515,2.3927940465523845,2.5093392343273706,0.012412080389468077,32
OLS,721.9699517322223,144.35521032699546,5.001343215092866,7.903906592369289e-7,33
OLS + control,88.58034621379494,20.316423526751226,4.360036405874224,1.5814899073904987e-5,33
OLS + interaction,43.89725011050552,25.459540851200913,1.7241964561365963,0.08529544583018597,33
OLS + quadradic,7.217047116580608,1.2603982859528098,5.726005181865838,1.78339599528397e-8,33
Matching (logit),42.37507379983666,18.78364886371007,2.2559553847764438,0.02407342538856361,33
Matching (logit + quad),42.21439778328172,18.78585475803138,2.2471374513972595,0.024631244092375864,33
Matching (genetic),42.214397783281086,26.78079339176718,1.576293770156131,0.11754770756735021,33
SVA,27.15344568834044,7.824579747137836,3.4702752819757428,5.650928192569011e-4,33
RFA,8.844292468222122,1.9840139562340495,4.457777345986966,1.0240336690013758e-5,33
OLS,796.5864342777428,156.60031933661904,5.086748466747673,5.168189931194865e-7,34
OLS + control,89.3619335784223,23.00994368321632,3.8836224377030426,1.1682283521076784e-4,34
OLS + interaction,29.175941749475854,34.02648995799782,0.8574478820909984,0.39161151538395766,34
OLS + quadradic,4.06892443170357,1.2758416861637598,3.1892079368703943,0.0015168453100588336,34
Matching (logit),12.44907822004711,17.211160574941243,0.7233142800475911,0.46948682150752113,34
Matching (logit + quad),12.155055923420033,17.210438250686835,0.7062606858913049,0.4800260372266449,34
Matching (genetic),12.131829966685599,24.651410156412553,0.49213533382915847,0.6240238926836954,34
SVA,19.91258429834348,8.58879522533068,2.3184374264292487,0.020829633971598743,34
RFA,12.194190952205728,4.595654397136579,2.653417750430402,0.008222722026499178,34
OLS,623.6763043497372,151.19160563013153,4.12507229981717,4.3431162454882796e-5,35
OLS + control,111.07732625941803,21.798323019105858,5.095682184453393,4.945218750302298e-7,35
OLS + interaction,91.69781877341345,26.127934035393725,3.5095702036447536,4.897216527759752e-4,35
OLS + quadradic,6.948485651002628,1.2396077950648232,5.605390413537427,3.452802046079867e-8,35
Matching (logit),12.166663311458684,6.655429510024656,1.8280808613678203,0.0675374168273148,35
Matching (logit + quad),12.13951994750159,6.657834680898197,1.8233435537729317,0.06825137368137986,35
Matching (genetic),12.13822788211505,9.51321450785333,1.2759333737397305,0.20499493311690453,35
SVA,12.991793939698576,7.938482449099982,1.6365588792315726,0.10235443385354279,35
RFA,9.674822668461797,2.0958961166888685,4.616079294877573,4.982348506559506e-6,35
OLS,512.5967092534004,155.49691008858048,3.2965073644318346,0.0010488262082186811,36
OLS + control,101.88416163857124,24.480418864216688,4.161863496032598,3.720228911552707e-5,36
OLS + interaction,86.73116236734818,28.578895198736756,3.0347975932667217,0.0025333466069411043,36
OLS + quadradic,5.359241444924163,1.1797704137047942,4.542613870180651,6.985020325512694e-6,36
Matching (logit),32.603791051773065,18.90231209122375,1.7248573028751781,0.084553191865178,36
Matching (logit + quad),32.788959767682755,18.896658817395842,1.7351723436683935,0.08271028353204404,36
Matching (genetic),32.78895976768246,26.98781951844085,1.2149540182480347,0.22689404046959072,36
